site_name,mean_price,mean_ci_lower,mean_ci_upper,median_price,median_ci_lower,median_ci_upper
electroplanet,7584.261538461538,7043.906794871796,8140.129615384614,5999.0,5499.0,7399.0
jumia_ma,1461.2778084121553,1418.1439470215337,1504.0979483296437,959.0,875.0,969.0
