site_name,count,mean,median,min,max,std_dev,variance
electroplanet,585,7584.261538461538,5999.0,39.0,39999.0,6536.267486816936,42722792.65922019
jumia_ma,9938,1461.2778084121553,959.0,15.0,19275.0,2179.8733772295086,4751847.940753984
